id,code,name,createdAt,updatedAt
1,AK,Alaska,"2017-08-01 16:23:51","2017-08-01 16:23:51"
2,AL,Alabama,"2017-08-01 16:23:51","2017-08-01 16:23:51"
3,HI,Hawaii,"2017-08-01 16:23:51","2017-08-01 16:23:51"
4,AZ,Arizona,"2017-08-01 16:23:51","2017-08-01 16:23:51"
5,CA,California,"2017-08-01 16:23:51","2017-08-01 16:23:51"
6,AR,Arkansas,"2017-08-01 16:23:51","2017-08-01 16:23:51"
7,ID,Idaho,"2017-08-01 16:23:51","2017-08-01 16:23:51"
8,GA,Georgia,"2017-08-01 16:23:51","2017-08-01 16:23:51"
9,CO,Colorado,"2017-08-01 16:23:51","2017-08-01 16:23:51"
10,DE,Delaware,"2017-08-01 16:23:51","2017-08-01 16:23:51"
11,CT,Connecticut,"2017-08-01 16:23:51","2017-08-01 16:23:51"
12,FL,Florida,"2017-08-01 16:23:51","2017-08-01 16:23:51"
13,IL,Illinois,"2017-08-01 16:23:51","2017-08-01 16:23:51"
14,IA,Iowa,"2017-08-01 16:23:51","2017-08-01 16:23:51"
15,IN,Indiana,"2017-08-01 16:23:51","2017-08-01 16:23:51"
16,KS,Kansas,"2017-08-01 16:23:51","2017-08-01 16:23:51"
17,KY,Kentucky,"2017-08-01 16:23:51","2017-08-01 16:23:51"
18,LA,Louisiana,"2017-08-01 16:23:51","2017-08-01 16:23:51"
19,ME,Maine,"2017-08-01 16:23:51","2017-08-01 16:23:51"
20,MD,Maryland,"2017-08-01 16:23:51","2017-08-01 16:23:51"
21,MA,Massachusetts,"2017-08-01 16:23:51","2017-08-01 16:23:51"
22,MI,Michigan,"2017-08-01 16:23:51","2017-08-01 16:23:51"
23,MN,Minnesota,"2017-08-01 16:23:51","2017-08-01 16:23:51"
24,MS,Mississippi,"2017-08-01 16:23:51","2017-08-01 16:23:51"
25,MO,Missouri,"2017-08-01 16:23:51","2017-08-01 16:23:51"
26,NE,Nebraska,"2017-08-01 16:23:51","2017-08-01 16:23:51"
27,MT,Montana,"2017-08-01 16:23:51","2017-08-01 16:23:51"
28,NV,Nevada,"2017-08-01 16:23:51","2017-08-01 16:23:51"
29,NH,New,"2017-08-01 16:23:51","2017-08-01 16:23:51"
30,NJ,New,"2017-08-01 16:23:51","2017-08-01 16:23:51"
31,NM,New,"2017-08-01 16:23:51","2017-08-01 16:23:51"
32,NY,New,"2017-08-01 16:23:51","2017-08-01 16:23:51"
33,NC,North,"2017-08-01 16:23:51","2017-08-01 16:23:51"
34,ND,North,"2017-08-01 16:23:51","2017-08-01 16:23:51"
35,OK,Oklahoma,"2017-08-01 16:23:51","2017-08-01 16:23:51"
36,OH,Ohio,"2017-08-01 16:23:51","2017-08-01 16:23:51"
37,OR,Oregon,"2017-08-01 16:23:51","2017-08-01 16:23:51"
38,PA,Pennsylvania,"2017-08-01 16:23:51","2017-08-01 16:23:51"
39,RI,Rhode,"2017-08-01 16:23:51","2017-08-01 16:23:51"
40,SC,South,"2017-08-01 16:23:51","2017-08-01 16:23:51"
41,SD,South,"2017-08-01 16:23:51","2017-08-01 16:23:51"
42,TN,Tennessee,"2017-08-01 16:23:51","2017-08-01 16:23:51"
43,TX,Texas,"2017-08-01 16:23:51","2017-08-01 16:23:51"
44,UT,Utah,"2017-08-01 16:23:51","2017-08-01 16:23:51"
45,VT,Vermont,"2017-08-01 16:23:51","2017-08-01 16:23:51"
46,VA,Virginia,"2017-08-01 16:23:51","2017-08-01 16:23:51"
47,WA,Washington,"2017-08-01 16:23:51","2017-08-01 16:23:51"
48,WV,West,"2017-08-01 16:23:51","2017-08-01 16:23:51"
49,WI,Wisconsin,"2017-08-01 16:23:51","2017-08-01 16:23:51"
50,WY,Wyoming,"2017-08-01 16:23:51","2017-08-01 16:23:51"
